mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	6.709155874572753E+002	-1.2598430E+000	-1.2610469E+000	-2.959681336645986E+002	-1.0517548E-002	37	3.7322968E-001
2	0	0	1	6.710989874526422E+002	-1.2580098E+000	-1.2588369E+000	-2.657420385545215E+002	-5.9709612E-002	37	3.3452588E-001
2	0	0	1	6.714323874442198E+002	-1.2546754E+000	-1.2554594E+000	-2.564755129131327E+002	-1.4650168E-001	37	3.2199460E-001
2	0	0	1	6.717657874357974E+002	-1.2513417E+000	-1.2527537E+000	-2.510339783347047E+002	-2.3098463E-001	37	3.1448376E-001
2	0	0	1	6.720990874273775E+002	-1.2480085E+000	-1.2484471E+000	-2.453310053183218E+002	-3.1358668E-001	37	3.0628276E-001
2	0	0	1	6.724323874189577E+002	-1.2446754E+000	-1.2457190E+000	-2.397840912580104E+002	-3.9431402E-001	37	2.9870358E-001
2	0	0	1	6.727657874105353E+002	-1.2413417E+000	-1.2419715E+000	-2.344849849928441E+002	-4.7326076E-001	37	2.9122368E-001
2	0	0	1	6.730991874021129E+002	-1.2380077E+000	-1.2386594E+000	-2.291782140039650E+002	-5.5043209E-001	37	2.8387374E-001
2	0	0	1	6.734325873936905E+002	-1.2346736E+000	-1.2350941E+000	-2.238508311068970E+002	-6.2583411E-001	37	2.7647683E-001
2	0	0	1	6.737659873852681E+002	-1.2313393E+000	-1.2317289E+000	-2.187429744293040E+002	-6.9949490E-001	37	2.6943204E-001
2	0	0	1	6.740993873768457E+002	-1.2280055E+000	-1.2284825E+000	-2.135871259948060E+002	-7.7145249E-001	37	2.6238805E-001
2	0	0	1	6.744326873684258E+002	-1.2246727E+000	-1.2247553E+000	-2.083850915979101E+002	-8.4165585E-001	37	2.5522074E-001
2	0	0	1	6.747660873600034E+002	-1.2213385E+000	-1.2227607E+000	-2.032348817664119E+002	-9.1015732E-001	37	2.4850762E-001
2	0	0	1	6.750993873515836E+002	-1.2180057E+000	-1.2188935E+000	-1.982935197814027E+002	-9.7696441E-001	37	2.4169868E-001
2	0	0	1	6.754327873431612E+002	-1.2146716E+000	-1.2157032E+000	-1.929932463351179E+002	-1.0420687E+000	37	2.3462252E-001
2	0	0	1	6.757661873347388E+002	-1.2113373E+000	-1.2122837E+000	-1.879599601669137E+002	-1.1054611E+000	37	2.2786081E-001
2	0	0	1	6.760995873263164E+002	-1.2080038E+000	-1.2073556E+000	-1.829642150527727E+002	-1.1671824E+000	37	2.2090288E-001
2	0	0	1	6.764329873178940E+002	-1.2046694E+000	-1.2056682E+000	-1.778574192146832E+002	-1.2272192E+000	37	2.1443704E-001
2	0	0	1	6.767663873094716E+002	-1.2013355E+000	-1.2024260E+000	-1.729181420029590E+002	-1.2855794E+000	37	2.0792127E-001
2	0	0	1	6.770996873010517E+002	-1.1980026E+000	-1.1997842E+000	-1.681955819934624E+002	-1.3423096E+000	37	2.0179839E-001
2	0	0	1	6.774329872926319E+002	-1.1946695E+000	-1.1963739E+000	-1.636205127359519E+002	-1.3974999E+000	37	1.9575132E-001
2	0	0	1	6.777663872842095E+002	-1.1913357E+000	-1.1913610E+000	-1.588570099467867E+002	-1.4511414E+000	37	1.8925604E-001
2	0	0	1	6.780997872757871E+002	-1.1880015E+000	-1.1889646E+000	-1.540737897446888E+002	-1.5031935E+000	37	1.8318829E-001
2	0	0	1	6.784331872673647E+002	-1.1846676E+000	-1.1852585E+000	-1.494452972593309E+002	-1.5536845E+000	37	1.7713131E-001
2	0	0	1	6.787665872589423E+002	-1.1813334E+000	-1.1811343E+000	-1.440570580234967E+002	-1.6025140E+000	37	1.7015074E-001
2	0	0	1	6.790999872505199E+002	-1.1779995E+000	-1.1786340E+000	-1.394369843661689E+002	-1.6496575E+000	37	1.6434518E-001
2	0	0	1	6.794333872420975E+002	-1.1746657E+000	-1.1755661E+000	-1.349086214228314E+002	-1.6952819E+000	37	1.5859400E-001
2	0	0	1	6.797666872336777E+002	-1.1713327E+000	-1.1716635E+000	-1.305848214509101E+002	-1.7394174E+000	37	1.5300147E-001
2	0	0	1	6.800999872252578E+002	-1.1679996E+000	-1.1680971E+000	-1.262100994330078E+002	-1.7821054E+000	37	1.4742565E-001
2	0	0	1	6.804333872168354E+002	-1.1646657E+000	-1.1661640E+000	-1.218079132351895E+002	-1.8233429E+000	37	1.4204800E-001
2	0	0	1	6.807667872084130E+002	-1.1613315E+000	-1.1630908E+000	-1.174090320018026E+002	-1.8631140E+000	37	1.3655737E-001
2	0	0	1	6.811001871999906E+002	-1.1579976E+000	-1.1587828E+000	-1.131179089420170E+002	-1.9014345E+000	37	1.3107909E-001
2	0	0	1	6.814335871915682E+002	-1.1546636E+000	-1.1559043E+000	-1.089591779268872E+002	-1.9383453E+000	37	1.2594639E-001
2	0	0	1	6.817669871831458E+002	-1.1513296E+000	-1.1519166E+000	-1.047791703010141E+002	-1.9738683E+000	37	1.2069687E-001
2	0	0	1	6.821002871747260E+002	-1.1479968E+000	-1.1486880E+000	-1.006217724890115E+002	-2.0079887E+000	37	1.1558302E-001
2	0	0	1	6.824335871663061E+002	-1.1446635E+000	-1.1449615E+000	-9.652759609850199E+001	-2.0407348E+000	37	1.1052038E-001
2	0	0	1	6.827669871578837E+002	-1.1413298E+000	-1.1412069E+000	-9.245170350714329E+001	-2.0721307E+000	37	1.0550652E-001
2	0	0	1	6.831003871494613E+002	-1.1379955E+000	-1.1390669E+000	-8.841354120188430E+001	-2.1021752E+000	37	1.0070894E-001
2	0	0	1	6.834337871410389E+002	-1.1346616E+000	-1.1350807E+000	-8.470134080782054E+001	-2.1309245E+000	37	9.6142858E-002
2	0	0	1	6.837671871326165E+002	-1.1313276E+000	-1.1297112E+000	-8.086904863992461E+001	-2.1584215E+000	37	9.1358669E-002
2	0	0	1	6.841005871241941E+002	-1.1279935E+000	-1.1293772E+000	-7.692266661187750E+001	-2.1846178E+000	37	8.6874709E-002
2	0	0	1	6.844339871157717E+002	-1.1246598E+000	-1.1257432E+000	-7.306845017762220E+001	-2.2095129E+000	37	8.2256310E-002
2	0	0	1	6.847672871073519E+002	-1.1213266E+000	-1.1219293E+000	-6.918549077704643E+001	-2.2331114E+000	37	7.7621229E-002
2	0	0	1	6.851005870989320E+002	-1.1179936E+000	-1.1174599E+000	-6.538748822345428E+001	-2.2554307E+000	37	7.3067896E-002
2	0	0	1	6.854339870905096E+002	-1.1146597E+000	-1.1154102E+000	-6.161565854976971E+001	-2.2764935E+000	37	6.8726733E-002
2	0	0	1	6.857673870820872E+002	-1.1113254E+000	-1.1105691E+000	-5.789258254980700E+001	-2.2963080E+000	37	6.4293712E-002
2	0	0	1	6.861007870736648E+002	-1.1079917E+000	-1.1074760E+000	-5.423462436199259E+001	-2.3148944E+000	37	6.0063545E-002
2	0	0	1	6.864341870652424E+002	-1.1046575E+000	-1.1047281E+000	-5.052133237641863E+001	-2.3322482E+000	37	5.5812337E-002
2	0	0	1	6.867675870568200E+002	-1.1013236E+000	-1.1021894E+000	-4.691767787928018E+001	-2.3483837E+000	37	5.1712167E-002
2	0	0	1	6.871174870479808E+002	-1.0978247E+000	-1.0982606E+000	-4.319913158298544E+001	-2.3640113E+000	37	4.7443908E-002
2	0	0	1	6.874675870391366E+002	-1.0943234E+000	-1.0944954E+000	-3.945981471711445E+001	-2.3783977E+000	38	4.3188587E-002
2	0	0	1	6.878009870307142E+002	-1.0909896E+000	-1.0902935E+000	-3.595748874621131E+001	-2.3908615E+000	38	3.9204217E-002
2	0	0	1	6.881343870222918E+002	-1.0876554E+000	-1.0873635E+000	-3.251406550715438E+001	-2.4021690E+000	38	3.5354607E-002
2	0	0	1	6.884677870138694E+002	-1.0843215E+000	-1.0856550E+000	-2.906650030253616E+001	-2.4123266E+000	38	3.1556189E-002
2	0	0	1	6.888011870054470E+002	-1.0809878E+000	-1.0811541E+000	-2.568834457437848E+001	-2.4213445E+000	38	2.7773060E-002
2	0	0	1	6.891344869970271E+002	-1.0776545E+000	-1.0801716E+000	-2.225805426622969E+001	-2.4292252E+000	38	2.4042517E-002
2	0	0	1	6.894677869886073E+002	-1.0743216E+000	-1.0733708E+000	-1.880747444052668E+001	-2.4359596E+000	38	2.0187395E-002
2	0	0	1	6.898011869801849E+002	-1.0709875E+000	-1.0701421E+000	-1.538291954847787E+001	-2.4415486E+000	38	1.6461911E-002
2	0	0	1	6.901345869717625E+002	-1.0676535E+000	-1.0680715E+000	-1.194818871678046E+001	-2.4459944E+000	38	1.2761519E-002
2	0	0	1	6.904679869633401E+002	-1.0643195E+000	-1.0642424E+000	-8.682404825662275E+000	-2.4493222E+000	38	9.2401830E-003
