mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	3.449739942331507E+002	-1.2598430E+000	-1.2603364E+000	-2.842883025578092E+002	-1.5920143E-003	37	3.5829890E-001
2	0	0	1	3.449923942326859E+002	-1.2580098E+000	-1.2591606E+000	-3.536494969254936E+002	-8.1869112E-003	37	4.4530153E-001
2	0	0	1	3.450257942318422E+002	-1.2546697E+000	-1.2552289E+000	-3.099144444621033E+002	-1.9205688E-002	37	3.8901356E-001
2	0	0	1	3.450589942310035E+002	-1.2513491E+000	-1.2528455E+000	-2.823694087784374E+002	-2.8998477E-002	37	3.5376525E-001
2	0	0	1	3.450923942301597E+002	-1.2480086E+000	-1.2478390E+000	-2.628468925105201E+002	-3.8074296E-002	37	3.2799059E-001
2	0	0	1	3.451257942293159E+002	-1.2446684E+000	-1.2444679E+000	-2.479223808804268E+002	-4.6580572E-002	37	3.0853143E-001
2	0	0	1	3.451589942284772E+002	-1.2413480E+000	-1.2420315E+000	-2.358955672472493E+002	-5.4591771E-002	37	2.9298970E-001
2	0	0	1	3.451923942276335E+002	-1.2380074E+000	-1.2393485E+000	-2.255249658718817E+002	-6.2278792E-002	37	2.7950403E-001
2	0	0	1	3.452257942267897E+002	-1.2346672E+000	-1.2349446E+000	-2.165243084868679E+002	-6.9643959E-002	37	2.6739553E-001
2	0	0	1	3.452589942259510E+002	-1.2313467E+000	-1.2321070E+000	-2.086168308741962E+002	-7.6684862E-002	37	2.5703827E-001
2	0	0	1	3.452923942251073E+002	-1.2280062E+000	-1.2278469E+000	-2.013831716611653E+002	-8.3516091E-002	37	2.4726769E-001
2	0	0	1	3.453257942242635E+002	-1.2246659E+000	-1.2248828E+000	-1.945105026022597E+002	-9.0112202E-002	37	2.3825258E-001
2	0	0	1	3.453589942234248E+002	-1.2213455E+000	-1.2213930E+000	-1.880112870202242E+002	-9.6447803E-002	37	2.2963567E-001
2	0	0	1	3.453923942225811E+002	-1.2180051E+000	-1.2184975E+000	-1.818607292207073E+002	-1.0261119E-001	37	2.2159685E-001
2	0	0	1	3.454257942217373E+002	-1.2146646E+000	-1.2137647E+000	-1.759827756676850E+002	-1.0857370E-001	37	2.1360168E-001
2	0	0	1	3.454589942208986E+002	-1.2113442E+000	-1.2120203E+000	-1.702852993749698E+002	-1.1430874E-001	37	2.0638923E-001
2	0	0	1	3.454923942200548E+002	-1.2080039E+000	-1.2089982E+000	-1.647583245220885E+002	-1.1989018E-001	37	1.9919252E-001
2	0	0	1	3.455257942192111E+002	-1.2046635E+000	-1.2057093E+000	-1.593448299037082E+002	-1.2528925E-001	37	1.9212355E-001
2	0	0	1	3.455591942183673E+002	-1.2013297E+000	-1.2016444E+000	-1.540011521885122E+002	-1.3050927E-001	37	1.8505463E-001
2	0	0	1	3.455923942175286E+002	-1.1980093E+000	-1.1989565E+000	-1.489108509817825E+002	-1.3552494E-001	37	1.7853764E-001
2	0	0	1	3.456257942166849E+002	-1.1946689E+000	-1.1959113E+000	-1.437945049596710E+002	-1.4039996E-001	37	1.7196546E-001
2	0	0	1	3.456591942158411E+002	-1.1913284E+000	-1.1916095E+000	-1.387458382226805E+002	-1.4510548E-001	37	1.6533086E-001
2	0	0	1	3.456923942150024E+002	-1.1880081E+000	-1.1884613E+000	-1.337539948625911E+002	-1.4961620E-001	37	1.5896145E-001
2	0	0	1	3.457257942141587E+002	-1.1846676E+000	-1.1860380E+000	-1.288323380210664E+002	-1.5398875E-001	37	1.5280005E-001
2	0	0	1	3.457591942133149E+002	-1.1813273E+000	-1.1831125E+000	-1.240209210613039E+002	-1.5819855E-001	37	1.4673071E-001
2	0	0	1	3.457923942124762E+002	-1.1780069E+000	-1.1794270E+000	-1.193752488577802E+002	-1.6222611E-001	37	1.4079440E-001
2	0	0	1	3.458257942116325E+002	-1.1746665E+000	-1.1742021E+000	-1.147189251776093E+002	-1.6612294E-001	37	1.3470320E-001
2	0	0	1	3.458591942107887E+002	-1.1713260E+000	-1.1707219E+000	-1.101195846661816E+002	-1.6986504E-001	37	1.2891941E-001
2	0	0	1	3.458923942099500E+002	-1.1680057E+000	-1.1694483E+000	-1.055517988740075E+002	-1.7343235E-001	37	1.2343737E-001
2	0	0	1	3.459257942091062E+002	-1.1646651E+000	-1.1662591E+000	-1.010162501290994E+002	-1.7686947E-001	37	1.1781111E-001
2	0	0	1	3.459591942082625E+002	-1.1613249E+000	-1.1617897E+000	-9.652708073103827E+001	-1.8015514E-001	37	1.1214416E-001
2	0	0	1	3.459923942074238E+002	-1.1580044E+000	-1.1593373E+000	-9.211301792674567E+001	-1.8327467E-001	37	1.0679006E-001
2	0	0	1	3.460257942065800E+002	-1.1546640E+000	-1.1562016E+000	-8.773037135760035E+001	-1.8626569E-001	37	1.0143399E-001
2	0	0	1	3.460591942057363E+002	-1.1513236E+000	-1.1518301E+000	-8.323528051552921E+001	-1.8910798E-001	37	9.5872901E-002
2	0	0	1	3.460924942048950E+002	-1.1479987E+000	-1.1472982E+000	-7.895432212670283E+001	-1.9179559E-001	37	9.0584151E-002
2	0	0	1	3.461257942040538E+002	-1.1446695E+000	-1.1445675E+000	-7.464175887275610E+001	-1.9434047E-001	37	8.5432529E-002
2	0	0	1	3.461591942032101E+002	-1.1413291E+000	-1.1424230E+000	-7.027755032733626E+001	-1.9674800E-001	37	8.0286689E-002
2	0	0	1	3.461925942023663E+002	-1.1379887E+000	-1.1381357E+000	-6.606425455843977E+001	-1.9901299E-001	37	7.5190082E-002
2	0	0	1	3.462257942015276E+002	-1.1346684E+000	-1.1370606E+000	-6.186473219836182E+001	-2.0112447E-001	37	7.0343949E-002
2	0	0	1	3.462591942006839E+002	-1.1313279E+000	-1.1309383E+000	-5.764887141881161E+001	-2.0310768E-001	37	6.5197319E-002
2	0	0	1	3.462925941998401E+002	-1.1279875E+000	-1.1289835E+000	-5.338750274746496E+001	-2.0494948E-001	37	6.0273610E-002
2	0	0	1	3.463257941990014E+002	-1.1246672E+000	-1.1240357E+000	-4.921561776841122E+001	-2.0664012E-001	37	5.5320114E-002
2	0	0	1	3.463741941977787E+002	-1.1198248E+000	-1.1199774E+000	-4.297665584094455E+001	-2.0885067E-001	37	4.8132882E-002
2	0	0	1	3.464225941965560E+002	-1.1149858E+000	-1.1167235E+000	-3.683265417615587E+001	-2.1084835E-001	38	4.1131891E-002
2	0	0	1	3.464557941957173E+002	-1.1116655E+000	-1.1129247E+000	-3.262316810228191E+001	-2.1198933E-001	38	3.6307130E-002
2	0	0	1	3.464891941948736E+002	-1.1083250E+000	-1.1085316E+000	-2.836154798057350E+001	-2.1299547E-001	38	3.1439673E-002
2	0	0	1	3.465225941940298E+002	-1.1049845E+000	-1.1054733E+000	-2.406334002702334E+001	-2.1385856E-001	38	2.6601380E-002
2	0	0	1	3.465557941931911E+002	-1.1016643E+000	-1.1020435E+000	-1.973999032568051E+001	-2.1457374E-001	38	2.1754328E-002
2	0	0	1	3.465891941923474E+002	-1.0983238E+000	-1.0994411E+000	-1.540132412581531E+001	-2.1514864E-001	38	1.6932849E-002
2	0	0	1	3.466225941915036E+002	-1.0949836E+000	-1.0957259E+000	-1.100711750372693E+001	-2.1557748E-001	38	1.2060784E-002
2	0	0	1	3.466558941906624E+002	-1.0916586E+000	-1.0936543E+000	-6.587171047213236E+000	-2.1585807E-001	38	7.2040879E-003
