mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	0	0	0	4.378803921141662E+002	-1.2598430E+000	-1.2553819E+000	-4.265081082752777E+002	-2.3884452E-003	37	5.3543055E-001
2	0	0	1	4.378987921137013E+002	-1.2580098E+000	-1.2595277E+000	-6.469603814739648E+002	-1.4362182E-002	37	8.1486452E-001
2	0	0	1	4.379321921128576E+002	-1.2546697E+000	-1.2566494E+000	-6.205321400684752E+002	-3.5482701E-002	37	7.7979136E-001
2	0	0	1	4.379653921120189E+002	-1.2513491E+000	-1.2517228E+000	-6.022179250900863E+002	-5.5754889E-002	37	7.5380993E-001
2	0	0	1	4.379987921111751E+002	-1.2480086E+000	-1.2479142E+000	-5.843419949354957E+002	-7.5546265E-002	37	7.2920865E-001
2	0	0	1	4.380321921103314E+002	-1.2446684E+000	-1.2450054E+000	-5.670389703800101E+002	-9.4750106E-002	37	7.0596659E-001
2	0	0	1	4.380653921094927E+002	-1.2413480E+000	-1.2431831E+000	-5.498338209279391E+002	-1.1326688E-001	37	6.8354416E-001
2	0	0	1	4.380987921086489E+002	-1.2380074E+000	-1.2383918E+000	-5.329959577249592E+002	-1.3132687E-001	37	6.6005778E-001
2	0	0	1	4.381321921078052E+002	-1.2346672E+000	-1.2364380E+000	-5.165889165009348E+002	-1.4883213E-001	37	6.3873017E-001
2	0	0	1	4.381653921069665E+002	-1.2313467E+000	-1.2308416E+000	-5.007518066695898E+002	-1.6569801E-001	37	6.1634618E-001
2	0	0	1	4.381987921061227E+002	-1.2280062E+000	-1.2270453E+000	-4.854131602025918E+002	-1.8214490E-001	37	5.9562391E-001
2	0	0	1	4.382321921052790E+002	-1.2246659E+000	-1.2245060E+000	-4.702375034459455E+002	-1.9808213E-001	37	5.7580864E-001
2	0	0	1	4.382653921044403E+002	-1.2213455E+000	-1.2218566E+000	-4.559308740255558E+002	-2.1343537E-001	37	5.5708212E-001
2	0	0	1	4.382987921035965E+002	-1.2180051E+000	-1.2187263E+000	-4.419554896418267E+002	-2.2840890E-001	37	5.3862280E-001
2	0	0	1	4.383321921027527E+002	-1.2146646E+000	-1.2152297E+000	-4.285020197727035E+002	-2.4292524E-001	37	5.2072841E-001
2	0	0	1	4.383653921019140E+002	-1.2113442E+000	-1.2122003E+000	-4.155039245824464E+002	-2.5691587E-001	37	5.0367397E-001
2	0	0	1	4.383987921010703E+002	-1.2080039E+000	-1.2095839E+000	-4.029807964572183E+002	-2.7056554E-001	37	4.8743907E-001
2	0	0	1	4.384321921002265E+002	-1.2046635E+000	-1.2047714E+000	-3.906712772941601E+002	-2.8380078E-001	37	4.7066957E-001
2	0	0	1	4.384655920993828E+002	-1.2013297E+000	-1.2031765E+000	-3.785259184356973E+002	-2.9662728E-001	37	4.5543349E-001
2	0	0	1	4.384987920985441E+002	-1.1980093E+000	-1.1993494E+000	-3.666586665457276E+002	-3.0897862E-001	37	4.3975186E-001
2	0	0	1	4.385321920977003E+002	-1.1946689E+000	-1.1964252E+000	-3.550233809266247E+002	-3.2101211E-001	37	4.2475891E-001
2	0	0	1	4.385655920968566E+002	-1.1913284E+000	-1.1926264E+000	-3.434925621795664E+002	-3.3265883E-001	37	4.0965828E-001
2	0	0	1	4.385987920960179E+002	-1.1880081E+000	-1.1872257E+000	-3.322023865275905E+002	-3.4385693E-001	37	3.9439920E-001
2	0	0	1	4.386321920951741E+002	-1.1846676E+000	-1.1854433E+000	-3.211764892027122E+002	-3.5475081E-001	37	3.8073650E-001
2	0	0	1	4.386655920943304E+002	-1.1813273E+000	-1.1826073E+000	-3.103503947593545E+002	-3.6527911E-001	37	3.6702263E-001
2	0	0	1	4.386987920934916E+002	-1.1780069E+000	-1.1802176E+000	-2.995553859357483E+002	-3.7538555E-001	37	3.5354054E-001
2	0	0	1	4.387321920926479E+002	-1.1746665E+000	-1.1764942E+000	-2.887765026827228E+002	-3.8519281E-001	37	3.3974388E-001
2	0	0	1	4.387655920918041E+002	-1.1713260E+000	-1.1717395E+000	-2.782489970945430E+002	-3.9464456E-001	37	3.2603532E-001
2	0	0	1	4.387987920909654E+002	-1.1680057E+000	-1.1682316E+000	-2.678923051403185E+002	-4.0369287E-001	37	3.1296027E-001
2	0	0	1	4.388321920901217E+002	-1.1646651E+000	-1.1645334E+000	-2.574988363015200E+002	-4.1244945E-001	37	2.9986599E-001
2	0	0	1	4.388655920892779E+002	-1.1613249E+000	-1.1617131E+000	-2.473208201436646E+002	-4.2086244E-001	37	2.8731585E-001
2	0	0	1	4.388987920884392E+002	-1.1580044E+000	-1.1605300E+000	-2.371613619875031E+002	-4.2888770E-001	37	2.7523288E-001
2	0	0	1	4.389321920875955E+002	-1.1546640E+000	-1.1564641E+000	-2.271621162354509E+002	-4.3662503E-001	37	2.6270482E-001
2	0	0	1	4.389655920867517E+002	-1.1513236E+000	-1.1510504E+000	-2.171330644052987E+002	-4.4402790E-001	37	2.4993111E-001
2	0	0	1	4.389988920859105E+002	-1.1479987E+000	-1.1490787E+000	-2.073481243581255E+002	-4.5107803E-001	37	2.3825932E-001
2	0	0	1	4.390321920850693E+002	-1.1446695E+000	-1.1458763E+000	-1.977458326979037E+002	-4.5780674E-001	37	2.2659226E-001
2	0	0	1	4.390655920842255E+002	-1.1413291E+000	-1.1429820E+000	-1.881928390587703E+002	-4.6423516E-001	37	2.1510103E-001
2	0	0	1	4.390989920833817E+002	-1.1379887E+000	-1.1383069E+000	-1.787715578873951E+002	-4.7034627E-001	37	2.0349689E-001
2	0	0	1	4.391321920825430E+002	-1.1346684E+000	-1.1358860E+000	-1.695391345289017E+002	-4.7611144E-001	37	1.9257712E-001
2	0	0	1	4.391655920816993E+002	-1.1313279E+000	-1.1307544E+000	-1.603517368828807E+002	-4.8160407E-001	37	1.8131842E-001
2	0	0	1	4.391989920808555E+002	-1.1279875E+000	-1.1280751E+000	-1.513576949617594E+002	-4.8679352E-001	37	1.7074285E-001
2	0	0	1	4.392321920800168E+002	-1.1246672E+000	-1.1256539E+000	-1.425231277310399E+002	-4.9165556E-001	37	1.6043171E-001
2	0	0	1	4.392655920791731E+002	-1.1213267E+000	-1.1221139E+000	-1.337854901917776E+002	-4.9625358E-001	37	1.5012257E-001
