mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	1	7.299239662779291E+003	-1.1929125E+000	-1.1931963E+000	-2.007293029485973E+002	-7.1434425E-003	37	6.4488715E-001	2.3950946E-001	-1.8380835E+000
2	0	0	1	7.299423062777088E+003	-1.1910791E+000	-1.1921046E+000	-1.982269959877049E+002	-4.3525841E-002	37	6.4378786E-001	2.3630731E-001	-1.8358924E+000
2	0	0	1	7.299756462773024E+003	-1.1877449E+000	-1.1887906E+000	-1.938763697461191E+002	-1.0880246E-001	37	6.4229733E-001	2.3047839E-001	-1.8310878E+000
2	0	0	1	7.300089862768997E+003	-1.1844112E+000	-1.1845409E+000	-1.893210468682933E+002	-1.7259914E-001	37	6.4060128E-001	2.2425851E-001	-1.8251421E+000
2	0	0	1	7.300423162764971E+003	-1.1810782E+000	-1.1813086E+000	-1.847290096836218E+002	-2.3484738E-001	37	6.3876379E-001	2.1822198E-001	-1.8200724E+000
2	0	0	1	7.300756462760917E+003	-1.1777451E+000	-1.1784370E+000	-1.800505797140515E+002	-2.9554820E-001	37	6.3691306E-001	2.1217826E-001	-1.8153501E+000
2	0	0	1	7.301089862756889E+003	-1.1744113E+000	-1.1741894E+000	-1.754390532418997E+002	-3.5471869E-001	37	6.3517886E-001	2.0599869E-001	-1.8093684E+000
2	0	0	1	7.301423262752847E+003	-1.1710770E+000	-1.1713926E+000	-1.708999517122206E+002	-4.1236606E-001	37	6.3321656E-001	2.0019093E-001	-1.8046091E+000
2	0	0	1	7.301756662748812E+003	-1.1677431E+000	-1.1670653E+000	-1.664293548601815E+002	-4.6851280E-001	37	6.3170952E-001	1.9423392E-001	-1.7987747E+000
2	0	0	1	7.302090062744799E+003	-1.1644090E+000	-1.1655204E+000	-1.620352120617426E+002	-5.2318287E-001	37	6.3003939E-001	1.8885535E-001	-1.7955599E+000
2	0	0	1	7.302423462740742E+003	-1.1610751E+000	-1.1608496E+000	-1.577156469383654E+002	-5.7640487E-001	37	6.2821913E-001	1.8308415E-001	-1.7890687E+000
2	0	0	1	7.302756762736703E+003	-1.1577423E+000	-1.1575973E+000	-1.533687761698050E+002	-6.2815839E-001	37	6.2617821E-001	1.7753929E-001	-1.7837756E+000
2	0	0	1	7.303090062732692E+003	-1.1544089E+000	-1.1550955E+000	-1.496394034377490E+002	-6.7857534E-001	37	6.2478989E-001	1.7284779E-001	-1.7798853E+000
2	0	0	1	7.303423462728635E+003	-1.1510752E+000	-1.1509317E+000	-1.451120207719623E+002	-7.2762531E-001	37	6.2253278E-001	1.6701403E-001	-1.7734644E+000
2	0	0	1	7.303756862724600E+003	-1.1477411E+000	-1.1485718E+000	-1.406340335815923E+002	-7.7517068E-001	37	6.2071395E-001	1.6152829E-001	-1.7692858E+000
2	0	0	1	7.304090262720558E+003	-1.1444072E+000	-1.1436646E+000	-1.362728522249713E+002	-8.2124645E-001	37	6.1901212E-001	1.5585044E-001	-1.7626767E+000
2	0	0	1	7.304423662716523E+003	-1.1410731E+000	-1.1427860E+000	-1.319266073323961E+002	-8.6586940E-001	37	6.1737913E-001	1.5076388E-001	-1.7601652E+000
2	0	0	1	7.304757062712510E+003	-1.1377391E+000	-1.1394784E+000	-1.276189794884342E+002	-9.0905088E-001	37	6.1522865E-001	1.4541908E-001	-1.7547071E+000
