mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	1	1.235911993192713E+002	-1.2846000E+000	-1.2785590E+000	-1.968859825882257E+002	-7.0050792E-003	37	6.5626258E-001	2.5173035E-001	-1.9348216E+000
2	0	0	1	1.237745993146382E+002	-1.2827669E+000	-1.2843333E+000	-1.949170539124985E+002	-4.2767420E-002	37	6.5455574E-001	2.5033846E-001	-1.9388890E+000
2	0	0	1	1.241079993062158E+002	-1.2794328E+000	-1.2830025E+000	-1.908023426057525E+002	-1.0698389E-001	37	6.5280527E-001	2.4479988E-001	-1.9358077E+000
2	0	0	1	1.244413992977934E+002	-1.2760987E+000	-1.2773002E+000	-1.867293978975622E+002	-1.6982706E-001	37	6.5167487E-001	2.3850951E-001	-1.9289751E+000
2	0	0	1	1.247746992893735E+002	-1.2727659E+000	-1.2720244E+000	-1.826725975647810E+002	-2.3130542E-001	37	6.5041083E-001	2.3236400E-001	-1.9224353E+000
2	0	0	1	1.251079992809537E+002	-1.2694328E+000	-1.2729267E+000	-1.786196914459545E+002	-2.9142991E-001	37	6.4826888E-001	2.2736977E-001	-1.9211955E+000
2	0	0	1	1.254413992725313E+002	-1.2660990E+000	-1.2649477E+000	-1.747074757215114E+002	-3.5024068E-001	37	6.4689779E-001	2.2099581E-001	-1.9118454E+000
2	0	0	1	1.257747992641089E+002	-1.2627647E+000	-1.2635585E+000	-1.708660678508322E+002	-4.0775791E-001	37	6.4483988E-001	2.1589927E-001	-1.9083984E+000
2	0	0	1	1.261081992556865E+002	-1.2594310E+000	-1.2649124E+000	-1.671055773660740E+002	-4.6400926E-001	37	6.4371365E-001	2.1137391E-001	-1.9086261E+000
2	0	0	1	1.264415992472641E+002	-1.2560967E+000	-1.2542025E+000	-1.633232694129581E+002	-5.1900637E-001	37	6.4278263E-001	2.0484045E-001	-1.8969851E+000
2	0	0	1	1.267749992388417E+002	-1.2527628E+000	-1.2530116E+000	-1.595909584856701E+002	-5.7274860E-001	37	6.4072108E-001	1.9996932E-001	-1.8937327E+000
2	0	0	1	1.271082992304218E+002	-1.2494299E+000	-1.2547622E+000	-1.559803304825506E+002	-6.2525147E-001	37	6.3933975E-001	1.9571821E-001	-1.8941019E+000
2	0	0	1	1.274415992220020E+002	-1.2460967E+000	-1.2465405E+000	-1.523865354194666E+002	-6.7655391E-001	37	6.3741988E-001	1.8995599E-001	-1.8839605E+000
2	0	0	1	1.277749992135796E+002	-1.2427629E+000	-1.2425742E+000	-1.488502354402555E+002	-7.2668284E-001	37	6.3679117E-001	1.8495746E-001	-1.8793654E+000
2	0	0	1	1.281083992051572E+002	-1.2394285E+000	-1.2426068E+000	-1.452843297164752E+002	-7.7563173E-001	37	6.3410062E-001	1.8053129E-001	-1.8767073E+000
2	0	0	1	1.284417991967348E+002	-1.2360947E+000	-1.2350520E+000	-1.418665104724537E+002	-8.2342052E-001	37	6.3374746E-001	1.7521252E-001	-1.8687994E+000
2	0	0	1	1.287751991883124E+002	-1.2327607E+000	-1.2343802E+000	-1.385375501106560E+002	-8.7008268E-001	37	6.3172275E-001	1.7100802E-001	-1.8661029E+000
2	0	0	1	1.291085991798900E+002	-1.2294267E+000	-1.2287679E+000	-1.351543301816218E+002	-9.1562629E-001	37	6.3030386E-001	1.6607329E-001	-1.8590717E+000
2	0	0	1	1.294418991714701E+002	-1.2260938E+000	-1.2245629E+000	-1.317330813435451E+002	-9.6002597E-001	37	6.2880307E-001	1.6131544E-001	-1.8533659E+000
2	0	0	1	1.297751991630503E+002	-1.2227606E+000	-1.2242829E+000	-1.284664670808570E+002	-1.0033131E+000	37	6.2693655E-001	1.5727930E-001	-1.8512194E+000
2	0	0	1	1.301085991546279E+002	-1.2194269E+000	-1.2187861E+000	-1.252850211941657E+002	-1.0455351E+000	37	6.2563652E-001	1.5269564E-001	-1.8444226E+000
2	0	0	1	1.304419991462055E+002	-1.2160927E+000	-1.2171705E+000	-1.220471005337258E+002	-1.0866995E+000	37	6.2467396E-001	1.4855213E-001	-1.8418444E+000
2	0	0	1	1.307753991377831E+002	-1.2127588E+000	-1.2119855E+000	-1.190497768922160E+002	-1.1268226E+000	37	6.2262553E-001	1.4428660E-001	-1.8346109E+000
2	0	0	1	1.311087991293607E+002	-1.2094246E+000	-1.2078431E+000	-1.158961678312055E+002	-1.1659174E+000	37	6.2139165E-001	1.3998438E-001	-1.8292347E+000
2	0	0	1	1.314421991209383E+002	-1.2060907E+000	-1.2059425E+000	-1.128964105114644E+002	-1.2039896E+000	37	6.2022418E-001	1.3614658E-001	-1.8261666E+000
2	0	0	1	1.317754991125184E+002	-1.2027581E+000	-1.2021657E+000	-1.098407173193618E+002	-1.2410446E+000	37	6.1801022E-001	1.3204674E-001	-1.8201759E+000
2	0	0	1	1.321087991040986E+002	-1.1994245E+000	-1.1999017E+000	-1.068249450378548E+002	-1.2770854E+000	37	6.1693615E-001	1.2817943E-001	-1.8168378E+000
2	0	0	1	1.324421990956762E+002	-1.1960909E+000	-1.1998501E+000	-1.038396916631453E+002	-1.3121376E+000	37	6.1543798E-001	1.2459207E-001	-1.8152881E+000
2	0	0	1	1.327755990872538E+002	-1.1927565E+000	-1.1955110E+000	-1.008435515044301E+002	-1.3461915E+000	37	6.1371988E-001	1.2055957E-001	-1.8092308E+000
2	0	0	1	1.331089990788314E+002	-1.1894227E+000	-1.1907926E+000	-9.792911269150341E+001	-1.3792630E+000	37	6.1255538E-001	1.1661326E-001	-1.8033479E+000
