mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	<Ece>/V	P/W	Ewe-Ece/V	
2	0	0	0	1.235921993193188E+002	-1.2552743E+000	-1.2587883E+000	-2.029861409804403E+002	-7.2193751E-003	37	6.4914286E-001	2.5551659E-001	-1.9079312E+000
2	0	0	1	1.237755993146857E+002	-1.2534412E+000	-1.2537204E+000	-2.000649059690877E+002	-4.3934159E-002	37	6.4781952E-001	2.5082546E-001	-1.9015399E+000
2	0	0	1	1.241089993062633E+002	-1.2501067E+000	-1.2508646E+000	-1.963239535721327E+002	-1.0992197E-001	37	6.4684904E-001	2.4557468E-001	-1.8977137E+000
2	0	0	1	1.244423992978409E+002	-1.2467729E+000	-1.2477055E+000	-1.926074538209294E+002	-1.7466478E-001	37	6.4563829E-001	2.4031737E-001	-1.8933437E+000
2	0	0	1	1.247756992894210E+002	-1.2434400E+000	-1.2418678E+000	-1.887417176542606E+002	-2.3812543E-001	37	6.4402968E-001	2.3439226E-001	-1.8858974E+000
2	0	0	1	1.251089992810012E+002	-1.2401069E+000	-1.2394062E+000	-1.850668732515633E+002	-3.0032638E-001	37	6.4267778E-001	2.2937304E-001	-1.8820840E+000
2	0	0	1	1.254423992725788E+002	-1.2367731E+000	-1.2395575E+000	-1.810835851342376E+002	-3.6126792E-001	37	6.4097410E-001	2.2446352E-001	-1.8805315E+000
2	0	0	1	1.257757992641564E+002	-1.2334387E+000	-1.2357228E+000	-1.774610850844665E+002	-4.2094666E-001	37	6.4023209E-001	2.1929270E-001	-1.8759549E+000
2	0	0	1	1.261091992557340E+002	-1.2301050E+000	-1.2307190E+000	-1.734794928235397E+002	-4.7935915E-001	37	6.3839597E-001	2.1350451E-001	-1.8691149E+000
2	0	0	1	1.264425992473116E+002	-1.2267708E+000	-1.2301023E+000	-1.696182515765004E+002	-5.3645885E-001	37	6.3702899E-001	2.0864780E-001	-1.8671312E+000
2	0	0	1	1.267759992388892E+002	-1.2234370E+000	-1.2218051E+000	-1.657019663318176E+002	-5.9226817E-001	37	6.3586944E-001	2.0245551E-001	-1.8576746E+000
2	0	0	1	1.271092992304693E+002	-1.2201040E+000	-1.2197015E+000	-1.618511567499459E+002	-6.4676684E-001	37	6.3410330E-001	1.9741011E-001	-1.8538048E+000
2	0	0	1	1.274425992220495E+002	-1.2167708E+000	-1.2220273E+000	-1.579710582181870E+002	-6.9997418E-001	37	6.3222224E-001	1.9304495E-001	-1.8542495E+000
2	0	0	1	1.277759992136271E+002	-1.2134368E+000	-1.2115082E+000	-1.542820915248985E+002	-7.5193822E-001	37	6.3101012E-001	1.8691401E-001	-1.8425183E+000
2	0	0	1	1.281093992052047E+002	-1.2101028E+000	-1.2118531E+000	-1.506213067883836E+002	-8.0267841E-001	37	6.2953037E-001	1.8253091E-001	-1.8413835E+000
2	0	0	1	1.284427991967823E+002	-1.2067691E+000	-1.2048932E+000	-1.467939638058122E+002	-8.5216647E-001	37	6.2836111E-001	1.7687105E-001	-1.8332543E+000
2	0	0	1	1.287761991883599E+002	-1.2034348E+000	-1.2044092E+000	-1.430972453171223E+002	-9.0040362E-001	37	6.2681389E-001	1.7234765E-001	-1.8312231E+000
2	0	0	1	1.291095991799375E+002	-1.2001009E+000	-1.2003608E+000	-1.395182474138533E+002	-9.4743699E-001	37	6.2502873E-001	1.6747223E-001	-1.8253895E+000
2	0	0	1	1.294428991715176E+002	-1.1967679E+000	-1.1949189E+000	-1.358299254423319E+002	-9.9323785E-001	37	6.2341142E-001	1.6230574E-001	-1.8183303E+000
2	0	0	1	1.297761991630978E+002	-1.1934348E+000	-1.1959400E+000	-1.321464780279216E+002	-1.0378054E+000	37	6.2163305E-001	1.5803926E-001	-1.8175731E+000
2	0	0	1	1.301095991546754E+002	-1.1901011E+000	-1.1885190E+000	-1.285573729107111E+002	-1.0811731E+000	37	6.2010300E-001	1.5279289E-001	-1.8086220E+000
2	0	0	1	1.304429991462530E+002	-1.1867669E+000	-1.1900131E+000	-1.248979258108284E+002	-1.1233468E+000	37	6.1838931E-001	1.4863016E-001	-1.8084023E+000
2	0	0	1	1.307763991378306E+002	-1.1834331E+000	-1.1809630E+000	-1.213134077286104E+002	-1.1643077E+000	37	6.1679447E-001	1.4326665E-001	-1.7977575E+000
2	0	0	1	1.311097991294082E+002	-1.1800987E+000	-1.1827537E+000	-1.178421104739963E+002	-1.2040918E+000	37	6.1543030E-001	1.3937819E-001	-1.7981839E+000
2	0	0	1	1.314431991209858E+002	-1.1767650E+000	-1.1818804E+000	-1.143654489130211E+002	-1.2427213E+000	37	6.1415219E-001	1.3516627E-001	-1.7960325E+000
2	0	0	1	1.317764991125659E+002	-1.1734321E+000	-1.1724689E+000	-1.109166001625874E+002	-1.2801857E+000	37	6.1231571E-001	1.3004626E-001	-1.7847846E+000
2	0	0	1	1.321097991041461E+002	-1.1700987E+000	-1.1679535E+000	-1.074166688397345E+002	-1.3164943E+000	37	6.1117375E-001	1.2545767E-001	-1.7791272E+000
2	0	0	1	1.324431990957237E+002	-1.1667650E+000	-1.1668873E+000	-1.041230066421745E+002	-1.3516865E+000	37	6.0943604E-001	1.2149981E-001	-1.7763233E+000
2	0	0	1	1.327765990873013E+002	-1.1634307E+000	-1.1625240E+000	-1.007048897048255E+002	-1.3857532E+000	37	6.0773414E-001	1.1707185E-001	-1.7702582E+000
2	0	0	1	1.331099990788789E+002	-1.1600969E+000	-1.1616305E+000	-9.727700293878138E+001	-1.4186845E+000	37	6.0578150E-001	1.1299993E-001	-1.7674119E+000
2	0	0	1	1.334433990704565E+002	-1.1567628E+000	-1.1579016E+000	-9.410824074588277E+001	-1.4505186E+000	37	6.0430324E-001	1.0896809E-001	-1.7622049E+000
2	0	0	1	1.337767990620341E+002	-1.1534289E+000	-1.1506371E+000	-9.077921884433624E+001	-1.4812707E+000	37	6.0290909E-001	1.0445394E-001	-1.7535462E+000
2	0	0	1	1.341100990536142E+002	-1.1500961E+000	-1.1496627E+000	-8.753504474711826E+001	-1.5109168E+000	37	6.0113186E-001	1.0063578E-001	-1.7507946E+000
2	0	0	1	1.344433990451944E+002	-1.1467627E+000	-1.1474588E+000	-8.436834027782999E+001	-1.5394957E+000	37	5.9947938E-001	9.6809193E-002	-1.7469382E+000
2	0	0	1	1.347767990367720E+002	-1.1434290E+000	-1.1427315E+000	-8.122392568287796E+001	-1.5670277E+000	37	5.9803408E-001	9.2817143E-002	-1.7407656E+000
2	0	0	1	1.351101990283496E+002	-1.1400949E+000	-1.1415669E+000	-7.823525399966479E+001	-1.5935442E+000	37	5.9598374E-001	8.9310773E-002	-1.7375506E+000
2	0	0	1	1.354435990199272E+002	-1.1367610E+000	-1.1360077E+000	-7.521461758648957E+001	-1.6190618E+000	37	5.9417969E-001	8.5444383E-002	-1.7301874E+000
2	0	0	1	1.357769990115048E+002	-1.1334268E+000	-1.1343144E+000	-7.226261642988720E+001	-1.6435792E+000	37	5.9251243E-001	8.1968531E-002	-1.7268269E+000
2	0	0	1	1.361103990030824E+002	-1.1300930E+000	-1.1325721E+000	-6.943029041014452E+001	-1.6671299E+000	37	5.9098542E-001	7.8634806E-002	-1.7235575E+000
2	0	0	1	1.364436989946626E+002	-1.1267599E+000	-1.1274217E+000	-6.651596818260401E+001	-1.6897185E+000	37	5.8962077E-001	7.4991547E-002	-1.7170424E+000
2	0	0	1	1.367770989862402E+002	-1.1234260E+000	-1.1233035E+000	-6.366551657810123E+001	-1.7113546E+000	37	5.8766031E-001	7.1515702E-002	-1.7109638E+000
2	0	0	1	1.371103989778203E+002	-1.1200931E+000	-1.1208851E+000	-6.085926140330747E+001	-1.7320445E+000	37	5.8604622E-001	6.8216242E-002	-1.7069314E+000
2	0	0	1	1.374437989693979E+002	-1.1167589E+000	-1.1180381E+000	-5.808420644130848E+001	-1.7518058E+000	37	5.8384728E-001	6.4940356E-002	-1.7018853E+000
2	0	0	1	1.377771989609755E+002	-1.1134249E+000	-1.1134609E+000	-5.539906027523227E+001	-1.7706581E+000	37	5.8187693E-001	6.1684687E-002	-1.6953378E+000
2	0	0	1	1.381105989525531E+002	-1.1100907E+000	-1.1114798E+000	-5.271003586918209E+001	-1.7886162E+000	37	5.8031446E-001	5.8586139E-002	-1.6917942E+000
2	0	0	1	1.384439989441307E+002	-1.1067568E+000	-1.1071451E+000	-5.012352510817675E+001	-1.8056970E+000	37	5.7820106E-001	5.5494014E-002	-1.6853461E+000
2	0	0	1	1.387772989357109E+002	-1.1034242E+000	-1.1029406E+000	-4.756445535866942E+001	-1.8219155E+000	37	5.7711601E-001	5.2460767E-002	-1.6800566E+000
2	0	0	1	1.391272989268691E+002	-1.0999237E+000	-1.1000305E+000	-4.496377688866971E+001	-1.8380339E+000	37	5.7464492E-001	4.9461529E-002	-1.6746755E+000
2	0	0	1	1.394773989180248E+002	-1.0964230E+000	-1.0949681E+000	-4.254747039140557E+001	-1.8533205E+000	38	5.7293940E-001	4.6588123E-002	-1.6679075E+000
2	0	0	1	1.398107989096025E+002	-1.0930889E+000	-1.0935671E+000	-4.009939683801576E+001	-1.8670416E+000	38	5.7088816E-001	4.3851383E-002	-1.6644553E+000
2	0	0	1	1.401441989011801E+002	-1.0897549E+000	-1.0910084E+000	-3.781955945036862E+001	-1.8799782E+000	38	5.6917411E-001	4.1261457E-002	-1.6601825E+000
2	0	0	1	1.404774988927602E+002	-1.0864222E+000	-1.0869182E+000	-3.554712185679966E+001	-1.8921510E+000	38	5.6677830E-001	3.8636815E-002	-1.6536965E+000
2	0	0	1	1.408107988843403E+002	-1.0830888E+000	-1.0823801E+000	-3.326337961856314E+001	-1.9035629E+000	38	5.6492466E-001	3.6003619E-002	-1.6473048E+000
