mode	error	time/s	<Ewe/V>	
3	1	4.999999873689376E-001	-4.2275298E-001
3	0	9.999999747378752E-001	-4.2280817E-001
3	0	1.499999962106813E+000	-4.2286173E-001
3	0	1.999999949475750E+000	-4.2291245E-001
3	0	2.499999936844688E+000	-4.2296514E-001
3	0	2.999999924213625E+000	-4.2301515E-001
3	0	3.499999911582563E+000	-4.2306632E-001
3	0	3.999999898951501E+000	-4.2311499E-001
3	0	4.499999886320438E+000	-4.2316094E-001
3	0	4.999999873689376E+000	-4.2321318E-001
3	0	5.499999861058313E+000	-4.2326045E-001
3	0	5.999999848427251E+000	-4.2330414E-001
3	0	6.499999835796189E+000	-4.2334953E-001
3	0	6.999999823165126E+000	-4.2339155E-001
3	0	7.499999810534064E+000	-4.2343959E-001
3	0	7.999999797903001E+000	-4.2349699E-001
3	0	8.499999785271939E+000	-4.2356738E-001
3	0	8.999999772640876E+000	-4.2365319E-001
3	0	9.499999760009814E+000	-4.2375463E-001
3	0	9.999999747378752E+000	-4.2386293E-001
3	0	1.049999973474769E+001	-4.2397940E-001
3	0	1.099999972211663E+001	-4.2409843E-001
3	0	1.149999970948556E+001	-4.2422011E-001
3	0	1.199999969685450E+001	-4.2434892E-001
3	0	1.249999968422344E+001	-4.2448169E-001
3	0	1.299999967159238E+001	-4.2461681E-001
3	0	1.349999965896131E+001	-4.2475435E-001
3	0	1.399999964633025E+001	-4.2489088E-001
3	0	1.449999963369919E+001	-4.2503467E-001
3	0	1.499999962106813E+001	-4.2517975E-001
3	0	1.549999960843707E+001	-4.2532656E-001
3	0	1.599999959580600E+001	-4.2547056E-001
3	0	1.649999958317494E+001	-4.2561889E-001
3	0	1.699999957054388E+001	-4.2576948E-001
3	0	1.749999955791282E+001	-4.2591748E-001
3	0	1.799999954528175E+001	-4.2606777E-001
3	0	1.849999953265069E+001	-4.2621949E-001
3	0	1.899999952001963E+001	-4.2637670E-001
3	0	1.949999950738857E+001	-4.2652813E-001
3	0	1.999999949475750E+001	-4.2668355E-001
3	0	2.049999948212644E+001	-4.2683887E-001
3	0	2.099999946949538E+001	-4.2699498E-001
3	0	2.149999945686432E+001	-4.2714834E-001
3	0	2.199999944423325E+001	-4.2730114E-001
3	0	2.249999943160219E+001	-4.2746198E-001
3	0	2.299999941897113E+001	-4.2761490E-001
3	0	2.349999940634007E+001	-4.2777216E-001
3	0	2.399999939370900E+001	-4.2792878E-001
3	0	2.449999938107794E+001	-4.2808613E-001
3	0	2.499999936844688E+001	-4.2824107E-001
3	0	2.549999935581582E+001	-4.2839840E-001
3	0	2.599999934318475E+001	-4.2855749E-001
3	0	2.649999933055369E+001	-4.2871445E-001
3	0	2.699999931792263E+001	-4.2887211E-001
3	0	2.749999930529157E+001	-4.2903149E-001
3	0	2.799999929266050E+001	-4.2918482E-001
3	0	2.849999928002944E+001	-4.2934179E-001
3	0	2.899999926739838E+001	-4.2949942E-001
3	0	2.949999925476732E+001	-4.2965469E-001
3	0	2.999999924213625E+001	-4.2980933E-001
3	0	3.049999922950519E+001	-4.2996109E-001
3	0	3.099999921687413E+001	-4.3011910E-001
3	0	3.149999920424307E+001	-4.3027675E-001
3	0	3.199999919161201E+001	-4.3042848E-001
3	0	3.249999917898094E+001	-4.3058208E-001
3	0	3.299999916634988E+001	-4.3074098E-001
3	0	3.349999915371882E+001	-4.3089896E-001
3	0	3.399999914108776E+001	-4.3105581E-001
3	0	3.449999912845669E+001	-4.3121520E-001
3	0	3.499999911582563E+001	-4.3137154E-001
3	0	3.549999910319457E+001	-4.3152505E-001
3	0	3.599999909056351E+001	-4.3167284E-001
3	0	3.649999907793244E+001	-4.3182936E-001
3	0	3.699999906530138E+001	-4.3198466E-001
3	0	3.749999905267032E+001	-4.3213993E-001
3	0	3.799999904003926E+001	-4.3228951E-001
3	0	3.849999902740819E+001	-4.3244401E-001
3	0	3.899999901477713E+001	-4.3259674E-001
3	0	3.949999900214607E+001	-4.3274638E-001
3	0	3.999999898951501E+001	-4.3289694E-001
3	0	4.049999897688394E+001	-4.3304765E-001
3	0	4.099999896425288E+001	-4.3319550E-001
3	0	4.149999895162182E+001	-4.3334079E-001
3	0	4.199999893899076E+001	-4.3349001E-001
3	0	4.249999892635969E+001	-4.3363833E-001
3	0	4.299999891372863E+001	-4.3378779E-001
3	0	4.349999890109757E+001	-4.3393373E-001
3	0	4.399999888846651E+001	-4.3352214E-001
3	0	4.449999887583544E+001	-4.3192208E-001
3	0	4.499999886320438E+001	-4.3221158E-001
3	0	4.549999885057332E+001	-4.3251255E-001
3	0	4.599999883794226E+001	-4.3274957E-001
3	0	4.649999882531120E+001	-4.3297505E-001
3	0	4.699999881268013E+001	-4.3317604E-001
3	0	4.749999880004907E+001	-4.3335441E-001
3	0	4.799999878741801E+001	-4.3352324E-001
3	0	4.849999877478695E+001	-4.3364155E-001
3	0	4.899999876215588E+001	-4.3364996E-001
3	0	4.949999874952482E+001	-4.3380123E-001
3	0	4.999999873689376E+001	-4.3395337E-001
3	0	5.049999872426270E+001	-4.3400767E-001
3	0	5.099999871163163E+001	-4.3321437E-001
3	0	5.149999869900057E+001	-4.3341812E-001
3	0	5.199999868636951E+001	-4.3364492E-001
3	0	5.249999867373845E+001	-4.3385249E-001
3	0	5.299999866110738E+001	-4.3404233E-001
3	0	5.349999864847632E+001	-4.3421596E-001
3	0	5.399999863584526E+001	-4.3438864E-001
3	0	5.449999862321420E+001	-4.3454102E-001
3	0	5.499999861058313E+001	-4.3469003E-001
3	0	5.549999859795207E+001	-4.3483749E-001
3	0	5.599999858532101E+001	-4.3496758E-001
3	0	5.649999857268995E+001	-4.3509108E-001
3	0	5.699999856005888E+001	-4.3522853E-001
3	0	5.749999854742782E+001	-4.3536705E-001
3	0	5.799999853479676E+001	-4.3550587E-001
3	0	5.849999852216570E+001	-4.3564528E-001
3	0	5.899999850953463E+001	-4.3578413E-001
3	0	5.949999849690357E+001	-4.3591818E-001
3	0	5.999999848427251E+001	-4.3604916E-001
3	0	6.049999847164145E+001	-4.3618271E-001
3	0	6.099999845901039E+001	-4.3631515E-001
3	0	6.149999844637932E+001	-4.3644473E-001
3	0	6.199999843374826E+001	-4.3657246E-001
3	0	6.249999842111720E+001	-4.3670318E-001
3	0	6.299999840848614E+001	-4.3683180E-001
