mode	error	time/s	<Ewe/V>	
3	0	4.999999873689376E-001	-4.6518630E-001
3	0	9.999999747378752E-001	-4.6518168E-001
3	0	1.499999962106813E+000	-4.6518183E-001
3	0	1.999999949475750E+000	-4.6518168E-001
3	0	2.499999936844688E+000	-4.6517938E-001
3	0	2.999999924213625E+000	-4.6517876E-001
3	0	3.499999911582563E+000	-4.6518004E-001
3	0	3.999999898951501E+000	-4.6518049E-001
3	0	4.499999886320438E+000	-4.6517900E-001
3	0	4.999999873689376E+000	-4.6517530E-001
3	0	5.499999861058313E+000	-4.6517637E-001
3	0	5.999999848427251E+000	-4.6517277E-001
3	0	6.499999835796189E+000	-4.6516728E-001
3	0	6.999999823165126E+000	-4.6516615E-001
3	0	7.499999810534064E+000	-4.6516752E-001
3	0	7.999999797903001E+000	-4.6516261E-001
3	0	8.499999785271939E+000	-4.6515992E-001
3	0	8.999999772640876E+000	-4.6515420E-001
3	0	9.499999760009814E+000	-4.6515161E-001
3	0	9.999999747378752E+000	-4.6514937E-001
3	0	1.049999973474769E+001	-4.6514869E-001
3	0	1.099999972211663E+001	-4.6514839E-001
3	0	1.149999970948556E+001	-4.6514609E-001
3	0	1.199999969685450E+001	-4.6514428E-001
3	0	1.249999968422344E+001	-4.6514264E-001
3	0	1.299999967159238E+001	-4.6514386E-001
3	0	1.349999965896131E+001	-4.6513990E-001
3	0	1.399999964633025E+001	-4.6513808E-001
3	0	1.449999963369919E+001	-4.6513897E-001
3	0	1.499999962106813E+001	-4.6513990E-001
3	0	1.549999960843707E+001	-4.6513730E-001
3	0	1.599999959580600E+001	-4.6513629E-001
3	0	1.649999958317494E+001	-4.6513605E-001
3	0	1.699999957054388E+001	-4.6513560E-001
3	0	1.749999955791282E+001	-4.6513614E-001
3	0	1.799999954528175E+001	-4.6513638E-001
3	0	1.849999953265069E+001	-4.6514249E-001
3	0	1.899999952001963E+001	-4.6513951E-001
3	0	1.949999950738857E+001	-4.6513683E-001
3	0	1.999999949475750E+001	-4.6513736E-001
3	0	2.049999948212644E+001	-4.6513915E-001
3	0	2.099999946949538E+001	-4.6513891E-001
3	0	2.149999945686432E+001	-4.6513471E-001
3	0	2.199999944423325E+001	-4.6513659E-001
3	0	2.249999943160219E+001	-4.6513769E-001
3	0	2.299999941897113E+001	-4.6513647E-001
3	0	2.349999940634007E+001	-4.6513453E-001
3	0	2.399999939370900E+001	-4.6513522E-001
3	0	2.449999938107794E+001	-4.6513093E-001
3	0	2.499999936844688E+001	-4.6511978E-001
3	0	2.549999935581582E+001	-4.6510303E-001
3	0	2.599999934318475E+001	-4.6508497E-001
3	0	2.649999933055369E+001	-4.6506754E-001
3	0	2.699999931792263E+001	-4.6505085E-001
3	0	2.749999930529157E+001	-4.6503100E-001
3	0	2.799999929266050E+001	-4.6500522E-001
3	0	2.849999928002944E+001	-4.6498480E-001
3	0	2.899999926739838E+001	-4.6496084E-001
3	0	2.949999925476732E+001	-4.6493781E-001
3	0	2.999999924213625E+001	-4.6491337E-001
3	0	3.049999922950519E+001	-4.6488956E-001
3	0	3.099999921687413E+001	-4.6486720E-001
3	0	3.149999920424307E+001	-4.6484947E-001
3	0	3.199999919161201E+001	-4.6482354E-001
3	0	3.249999917898094E+001	-4.6479940E-001
3	0	3.299999916634988E+001	-4.6477917E-001
3	0	3.349999915371882E+001	-4.6475694E-001
3	0	3.399999914108776E+001	-4.6473268E-001
3	0	3.449999912845669E+001	-4.6470991E-001
3	0	3.499999911582563E+001	-4.6468246E-001
3	0	3.549999910319457E+001	-4.6466222E-001
3	0	3.599999909056351E+001	-4.6464220E-001
3	0	3.649999907793244E+001	-4.6461460E-001
3	0	3.699999906530138E+001	-4.6458995E-001
3	0	3.749999905267032E+001	-4.6456772E-001
3	0	3.799999904003926E+001	-4.6454769E-001
3	0	3.849999902740819E+001	-4.6452895E-001
3	0	3.899999901477713E+001	-4.6450812E-001
3	0	3.949999900214607E+001	-4.6448755E-001
3	0	3.999999898951501E+001	-4.6446478E-001
3	0	4.049999897688394E+001	-4.6444112E-001
3	0	4.099999896425288E+001	-4.6441963E-001
3	0	4.149999895162182E+001	-4.6439621E-001
3	0	4.199999893899076E+001	-4.6437359E-001
3	0	4.249999892635969E+001	-4.6435484E-001
3	0	4.299999891372863E+001	-4.6433452E-001
3	0	4.349999890109757E+001	-4.6431193E-001
3	0	4.399999888846651E+001	-4.6429405E-001
3	0	4.449999887583544E+001	-4.6427852E-001
3	0	4.499999886320438E+001	-4.6425954E-001
3	0	4.549999885057332E+001	-4.6424013E-001
3	0	4.599999883794226E+001	-4.6422294E-001
3	0	4.649999882531120E+001	-4.6420547E-001
3	0	4.699999881268013E+001	-4.6418500E-001
3	0	4.749999880004907E+001	-4.6417043E-001
3	0	4.799999878741801E+001	-4.6415538E-001
3	0	4.849999877478695E+001	-4.6413639E-001
3	0	4.899999876215588E+001	-4.6412370E-001
3	0	4.949999874952482E+001	-4.6410522E-001
3	0	4.999999873689376E+001	-4.6409342E-001
3	0	5.049999872426270E+001	-4.6407500E-001
3	0	5.099999871163163E+001	-4.6405923E-001
3	0	5.149999869900057E+001	-4.6404433E-001
3	0	5.199999868636951E+001	-4.6403018E-001
3	0	5.249999867373845E+001	-4.6401358E-001
3	0	5.299999866110738E+001	-4.6399826E-001
3	0	5.349999864847632E+001	-4.6398512E-001
3	0	5.399999863584526E+001	-4.6397686E-001
3	0	5.449999862321420E+001	-4.6396944E-001
3	0	5.499999861058313E+001	-4.6339896E-001
3	0	5.549999859795207E+001	-4.6349186E-001
3	0	5.599999858532101E+001	-4.6353111E-001
3	0	5.649999857268995E+001	-4.6352470E-001
3	0	5.699999856005888E+001	-4.6351069E-001
3	0	5.749999854742782E+001	-4.6349984E-001
3	0	5.799999853479676E+001	-4.6348569E-001
3	0	5.849999852216570E+001	-4.6347496E-001
3	0	5.899999850953463E+001	-4.6345785E-001
3	0	5.949999849690357E+001	-4.6344721E-001
3	0	5.999999848427251E+001	-4.6343419E-001
3	0	6.049999847164145E+001	-4.6342003E-001
3	0	6.099999845901039E+001	-4.6340382E-001
3	0	6.149999844637932E+001	-4.6338847E-001
3	0	6.199999843374826E+001	-4.6337241E-001
3	0	6.249999842111720E+001	-4.6336147E-001
3	0	6.299999840848614E+001	-4.6334821E-001
3	0	6.349999839585507E+001	-4.6347296E-001
3	0	6.399999838322401E+001	-4.6362960E-001
3	0	6.449999837059295E+001	-4.6364284E-001
3	0	6.499999835796189E+001	-4.6364570E-001
3	0	6.549999834533082E+001	-4.6365035E-001
3	0	6.599999833269976E+001	-4.6365118E-001
3	0	6.649999832006870E+001	-4.6365532E-001
3	0	6.699999830743764E+001	-4.6365947E-001
3	0	6.749999829480657E+001	-4.6367168E-001
3	0	6.799999828217551E+001	-4.6367881E-001
3	0	6.849999826954445E+001	-4.6368942E-001
3	0	6.899999825691339E+001	-4.6370000E-001
3	0	6.949999824428232E+001	-4.6371213E-001
3	0	6.999999823165126E+001	-4.6372446E-001
3	0	7.049999821902020E+001	-4.6373540E-001
3	0	7.099999820638914E+001	-4.6374694E-001
3	0	7.149999819375807E+001	-4.6375552E-001
